Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume,ReTX
1.58E+12,2/15/20 04:00,BTCUSD,10275.98,10300.01,9751,10009.32,1552.523235,0.018523946
1.58E+12,2/14/20 04:00,BTCUSD,10250,10400.37,10111,10275.98,1762.852386,0.02664117
1.58E+12,2/13/20 04:00,BTCUSD,10407.84,10517.2,10087.51,10250,1541.75074,-0.002528226
1.58E+12,2/12/20 04:00,BTCUSD,10299.99,10487.46,10250.2,10407.84,1929.961553,0.015399024
1.58E+12,2/11/20 04:00,BTCUSD,9724.18,10390.94,9714.9,10299.99,2040.967934,-0.010362381
1.58E+12,2/10/20 04:00,BTCUSD,10078.82,10102.44,9697.09,9724.18,1638.165845,-0.055903938
1.58E+12,2/9/20 04:00,BTCUSD,10050,10200,10027.78,10078.82,590.9211326,0.036469913
1.58E+12,2/8/20 04:00,BTCUSD,9709.11,10050,9700.37,10050,759.0736517,-0.002859462
1.58E+12,2/7/20 04:00,BTCUSD,9768.85,9871.36,9660.44,9709.11,767.8835923,-0.033919403
1.58E+12,2/6/20 04:00,BTCUSD,9634.97,9856.43,9591.15,9768.85,1062.946597,0.006152984
1.58E+12,2/5/20 04:00,BTCUSD,9207.78,9767.9,9187.45,9634.97,1616.691595,-0.013704786
1.58E+12,2/4/20 04:00,BTCUSD,9274.75,9306.77,9079.87,9207.78,764.2069764,-0.04433745
1.58E+12,2/3/20 04:00,BTCUSD,9362.03,9410.57,9225,9274.75,726.731028,0.007273197
1.58E+12,2/2/20 04:00,BTCUSD,9253.55,9600,9150,9362.03,665.9550545,0.009410496
1.58E+12,2/1/20 04:00,BTCUSD,9417.47,9447.94,9240,9253.55,456.3412503,-0.011587231
1.58E+12,1/31/20 04:00,BTCUSD,9420.01,9455.78,9200.03,9417.47,939.8788597,0.017714283
1.58E+12,1/30/20 04:00,BTCUSD,9253,9565.22,9189.98,9420.01,1371.86676,0.000269712
1.58E+12,1/29/20 04:00,BTCUSD,9338.25,9428.98,9186.87,9253,904.538636,-0.017729281
1.58E+12,1/28/20 04:00,BTCUSD,9095.48,9430,8890.72,9338.25,1471.728741,0.009213228
1.58E+12,1/27/20 04:00,BTCUSD,8647.99,9145.22,8560.04,9095.48,1381.671711,-0.025997376
1.58E+12,1/26/20 04:00,BTCUSD,8346.01,8674.06,8325.14,8647.99,486.7162924,-0.049199163
1.58E+12,1/25/20 04:00,BTCUSD,8286.66,8406.7,8280,8346.01,308.4473645,-0.034919097
1.58E+12,1/24/20 04:00,BTCUSD,8310.2,8513.35,8226.36,8286.66,852.842705,-0.007111182
1.58E+12,1/23/20 04:00,BTCUSD,8559.71,8590.78,8271.33,8310.2,1649.808428,0.00284071
